Country,Year,Building,Bunker Fuels,Electricity/Heat,Industrial Processes,Manufacturing/Construction,Other Fuel Combustion,Transportation,Total
China,1990,384.68,5.64,725.36,84.51,745.2,139.45,94.15,2173.36
China,1991,383.27,7.26,794.33,101.3,778.83,143.84,100.62,2302.19
China,1992,360.02,11.27,877.75,122.4,807.8,139.09,111.1,2418.18
China,1993,370.43,9.81,997.65,142.8,861.54,145.41,125.7,2645.4
China,1994,341.37,10.83,1082.83,164.4,903.38,155.58,116.35,2767.65
China,1995,365.7,11.17,1185.7,184.6,1070.17,151.32,127.37,3088.6
China,1996,313.8,12.42,1330.33,192.9,968.66,89.34,169.85,3070.47
China,1997,352.62,10.13,1328.11,202.9,961.13,137.76,146.13,3134.08
China,1998,298.69,10.64,1409.58,211.4,1023.82,148.34,140.29,3236.26
China,1999,305.36,10.86,1432.76,228.3,871.49,153.92,157.36,3153.64
China,2000,274.12,13.79,1575.21,244.4,904.05,95.5,248.48,3346.5
China,2001,277.73,15.52,1661.15,270.8,958.84,101.5,254.25,3529.06
China,2002,283.61,17.39,1840.48,282.7,996.75,111.65,276.44,3796.13
China,2003,308.48,17.03,2178.69,353.7,1136.15,129.03,313.14,4424.38
China,2004,352.57,22.7,2376.12,368.4,1497.94,141.82,371.14,5113.19
China,2005,365.46,26.38,2552.71,411.6,1935.75,156.17,397.31,5824.59
China,2006,384.12,30.7,2898.66,470.1,2083.31,160.9,434.81,6437.44
China,2007,398.28,34.05,3171.09,515.0,2274.4,160.92,468.58,6993.16
China,2008,383.25,33.3,3208.47,525.9,2409.72,160.46,507.07,7199.58
China,2009,391.66,35.89,3455.65,583.6,2601.24,165.3,517.07,7719.05
China,2010,416.4,43.47,3831.98,639.6,2844.07,169.36,568.78,8474.9
China,2011,440.72,46.97,4324.11,708.6,3004.77,177.54,621.89,9282.53
China,2012,457.22,47.18,4450.73,714.8,3042.03,185.94,686.13,9540.52
China,2013,476.57,44.67,4742.95,748.3,3068.12,198.48,741.09,9979.11
China,2014,486.75,44.62,4689.45,770.3,3094.69,197.22,770.35,10012.72
China,2015,514.85,53.19,4593.76,718.6,2995.88,202.03,828.46,9857.49
China,2016,523.14,57.07,4698.0,740.8,2859.4,201.8,845.36,9872.19
China,2017,530.05,61.54,5035.33,753.4,2696.33,193.31,877.82,10089.17
China,2018,493.88,68.8,5381.1,765.8,2790.82,172.01,950.96,10558.0
China,2019,460.56,69.16,5590.46,820.0,2795.07,159.08,944.37,10773.37
China,2020,455.06,54.5,5685.25,850.0,2852.62,158.43,901.96,10908.45
China,2021,444.93,57.39,6255.59,843.8,2832.32,146.24,969.45,11497.03
India,1990,56.41,5.11,231.92,22.35,149.11,28.3,64.38,563.22
India,1991,59.28,4.86,258.97,24.5,153.2,33.08,66.93,606.86
India,1992,58.56,4.94,278.57,25.16,156.65,33.03,68.55,626.11
India,1993,58.88,5.4,306.8,26.6,154.53,32.13,68.55,651.23
India,1994,63.49,5.83,319.86,28.54,164.34,36.92,70.81,685.84
India,1995,65.38,6.35,364.89,31.1,156.7,39.07,78.29,737.78
India,1996,67.27,6.62,388.13,34.08,156.92,41.62,83.8,774.0
India,1997,72.9,6.56,402.1,37.42,173.13,45.13,85.8,819.18
India,1998,70.4,6.67,418.14,39.03,182.58,35.1,88.78,836.2
India,1999,73.44,7.01,459.65,44.59,187.8,40.38,93.31,901.26
India,2000,72.68,7.21,491.24,45.96,192.27,38.54,95.09,937.79
India,2001,71.32,7.29,505.36,46.74,193.98,39.27,94.92,953.47
India,2002,74.62,7.39,513.58,49.11,207.67,41.05,97.74,985.4
India,2003,76.71,8.08,536.41,50.88,198.42,47.94,99.53,1011.71
India,2004,79.03,9.07,584.73,55.54,208.26,48.2,108.05,1085.61
India,2005,79.92,9.72,599.57,59.69,232.62,47.47,115.4,1136.41
India,2006,81.34,11.29,639.33,64.91,260.31,46.84,120.65,1215.15
India,2007,83.34,12.75,703.28,68.33,295.26,41.62,142.98,1336.67
India,2008,85.39,12.51,721.88,73.24,308.18,70.5,163.21,1424.32
India,2009,89.56,13.28,789.51,81.27,355.09,68.24,178.71,1564.32
India,2010,92.71,13.97,819.68,86.03,397.49,68.81,192.92,1659.4
India,2011,96.72,14.4,860.23,91.31,442.46,52.97,209.29,1755.71
India,2012,97.45,13.51,989.11,100.2,431.07,65.43,221.52,1908.49
India,2013,99.59,13.86,1006.04,107.8,468.42,59.89,226.26,1971.35
India,2014,103.75,14.29,1123.43,115.8,499.88,64.09,235.75,2146.34
India,2015,107.82,15.24,1103.12,117.5,502.72,64.34,257.75,2157.5
India,2016,111.86,16.37,1096.32,123.3,523.64,66.22,269.39,2194.72
India,2017,114.19,17.11,1154.9,121.0,555.1,69.02,291.23,2308.34
India,2018,118.94,17.98,1255.82,139.0,564.68,71.11,305.69,2457.83
India,2019,123.25,17.36,1228.08,143.7,548.9,69.09,308.46,2424.0
India,2020,124.57,9.98,1116.26,122.9,501.03,64.13,268.66,2200.44
India,2021,129.22,10.82,1223.37,149.0,559.39,71.93,295.09,2430.83
