ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
CHN,China,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,11497.03,10908.45,10773.37,10558.0,10089.17,9872.19,9857.49,10012.72,9979.11,9540.52,9282.53,8474.9,7719.05,7199.58,6993.16,6437.44,5824.59,5113.19,4424.38,3796.13,3529.06,3346.5,3153.64,3236.26,3134.08,3070.47,3088.6,2767.65,2645.4,2418.18,2302.19,2173.36
CHN,China,Climate Watch,Total including LUCF,CO2,MtCO₂e,10849.18,10260.6,10125.52,9910.09,9441.26,9224.28,9149.52,9304.75,9271.13,8832.55,8574.55,8144.86,7389.01,6869.53,6663.11,6107.39,5494.55,4783.13,4094.31,3466.06,3198.98,2999.31,2806.43,2889.03,2786.85,2723.24,2741.36,2420.36,2298.12,2070.89,1954.9,1826.08
CHN,China,Climate Watch,Energy,CO2,MtCO₂e,10653.23,10058.45,9953.37,9792.2,9335.77,9131.39,9138.89,9242.42,9230.81,8825.72,8573.93,7835.3,7135.45,6673.68,6478.16,5967.34,5412.99,4744.79,4070.68,3513.43,3258.26,3102.1,2925.34,3024.86,2931.18,2877.57,2904.0,2603.25,2502.6,2295.78,2200.89,2088.85
CHN,China,Climate Watch,Electricity/Heat,CO2,MtCO₂e,6255.59,5685.25,5590.46,5381.1,5035.33,4698.0,4593.76,4689.45,4742.95,4450.73,4324.11,3831.98,3455.65,3208.47,3171.09,2898.66,2552.71,2376.12,2178.69,1840.48,1661.15,1575.21,1432.76,1409.58,1328.11,1330.33,1185.7,1082.83,997.65,877.75,794.33,725.36
USA,United States,Climate Watch,Total excluding LUCF,CO2,MtCO₂e,4606.69,4319.99,4817.45,4975.17,4819.01,4894.18,4990.27,5106.8,5091.76,4955.71,5173.33,5391.94,5156.3,5558.29,5736.24,5653.01,5753.41,5738.21,5658.9,5592.94,5748.17,5775.72,5608.92,5590.43,5543.23,5273.38,5116.92,5066.68,4995.06,4879.45,4807.32,4844.36
USA,United States,Climate Watch,Energy,CO2,MtCO₂e,4565.38,4279.3,4776.55,4936.2,4778.69,4854.74,4950.36,5067.36,5055.39,4920.44,5141.12,5360.49,5126.69,5516.87,5690.73,5606.16,5707.22,5692.32,5615.55,5549.78,5706.56,5734.27,5568.68,5550.97,5504.67,5236.07,5079.84,5030.37,4960.22,4846.46,4774.58,4810.88
USA,United States,Climate Watch,Total including LUCF,CO2,MtCO₂e,4385.23,4098.53,4596.0,4753.58,4597.3,4672.5,4581.1,4697.67,4682.69,4546.75,4764.43,5000.09,4764.45,5166.47,5344.48,5261.31,5361.77,5346.62,5267.34,5201.38,5356.61,5367.05,5200.16,5181.57,5134.31,4864.47,4708.07,4657.6,4586.13,4470.67,4398.54,4435.58
CHN,China,Climate Watch,Manufacturing/Construction,CO2,MtCO₂e,2832.32,2852.62,2795.07,2790.82,2696.33,2859.4,2995.88,3094.69,3068.12,3042.03,3004.77,2844.07,2601.24,2409.72,2274.4,2083.31,1935.75,1497.94,1136.15,996.75,958.84,904.05,871.49,1023.82,961.13,968.66,1070.17,903.38,861.54,807.8,778.83,745.2
EUU,European Union (27),Climate Watch,Total excluding LUCF,CO2,MtCO₂e,2652.03,2468.29,2729.01,2865.08,2928.98,2907.04,2897.28,2839.46,2984.11,3061.72,3122.14,3216.87,3132.3,3379.21,3457.72,3499.56,3491.06,3508.12,3503.76,3413.96,3422.25,3365.25,3356.36,3413.36,3422.78,3493.32,3393.02,3341.86,3352.44,3416.51,3533.13,3570.53
EUU,European Union (27),Climate Watch,Energy,CO2,MtCO₂e,2579.61,2397.88,2655.45,2791.47,2856.68,2836.89,2827.1,2768.66,2916.5,2990.39,3046.45,3139.91,3053.76,3283.14,3354.49,3400.78,3395.05,3412.57,3412.4,3323.84,3331.23,3271.96,3264.34,3322.72,3334.01,3406.5,3303.11,3255.36,3271.23,3329.97,3451.63,3483.29
